district,category,subcategory,year,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2013 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2013 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2013 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2013 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2014 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2014 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2014 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2014 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2015 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2015 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2015 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2015 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2016 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2016 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2016 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2016 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2017 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2017 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2017 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2017 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2018 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2011 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2011 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2012 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2012 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2012 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2012 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2013 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2013 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2013 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2013 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2014 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2014 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2014 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2014 Q4,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2015 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2015 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2015 Q3,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2015 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2016 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2016 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2016 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2016 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2017 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2017 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2017 Q3,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2017 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0132 Driving causing death,2018 Q1,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2011 Q3,374
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2011 Q4,452
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2012 Q1,478
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2012 Q2,413
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2012 Q3,436
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2012 Q4,436
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2013 Q1,514
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2013 Q2,410
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2013 Q3,546
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2013 Q4,464
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2014 Q1,361
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2014 Q2,362
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2014 Q3,362
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2014 Q4,375
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2015 Q1,398
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2015 Q2,370
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2015 Q3,465
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2015 Q4,492
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2016 Q1,420
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2016 Q2,313
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2016 Q3,368
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2016 Q4,422
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2017 Q1,421
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2017 Q2,391
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2017 Q3,428
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2017 Q4,574
Alice Springs Crime Statistics,02 Acts intended to cause injury, 021 Assault,2018 Q1,182
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2011 Q3,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2011 Q4,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2012 Q1,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2012 Q2,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2012 Q3,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2012 Q4,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2013 Q1,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2013 Q2,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2013 Q3,3
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2013 Q4,3
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2014 Q1,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2014 Q2,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2014 Q3,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2014 Q4,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2015 Q1,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2015 Q2,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2015 Q3,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2015 Q4,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2016 Q1,2
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2016 Q2,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2016 Q3,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2016 Q4,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2017 Q1,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2017 Q2,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2017 Q3,0
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2017 Q4,1
Alice Springs Crime Statistics,02 Acts intended to cause injury, 029 Acts intended to cause injury - other,2018 Q1,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2011 Q3,15
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2011 Q4,18
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2012 Q1,28
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2012 Q2,15
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2012 Q3,23
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2012 Q4,19
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2013 Q1,19
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2013 Q2,13
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2013 Q3,22
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2013 Q4,17
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2014 Q1,16
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2014 Q2,14
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2014 Q3,14
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2014 Q4,16
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2015 Q1,15
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2015 Q2,22
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2015 Q3,16
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2015 Q4,22
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2016 Q1,18
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2016 Q2,23
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2016 Q3,24
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2016 Q4,14
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2017 Q1,14
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2017 Q2,25
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2017 Q3,8
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2017 Q4,20
Alice Springs Crime Statistics,03 Sexual assault and related offences, 031 Sexual assault,2018 Q1,4
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2011 Q3,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2011 Q4,0
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2012 Q1,4
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2012 Q2,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2012 Q3,3
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2012 Q4,4
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2013 Q1,3
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2013 Q2,0
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2013 Q3,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2013 Q4,3
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2014 Q1,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2014 Q2,3
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2014 Q3,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2014 Q4,2
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2015 Q1,4
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2015 Q2,2
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2015 Q3,0
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2015 Q4,2
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2016 Q1,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2016 Q2,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2016 Q3,4
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2016 Q4,2
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2017 Q1,3
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2017 Q2,3
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2017 Q3,1
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2017 Q4,0
Alice Springs Crime Statistics,03 Sexual assault and related offences, 032 Non-assaultive sexual offences,2018 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2011 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2011 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2012 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2012 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2012 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2012 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2013 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2013 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2013 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2013 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2014 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2014 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2014 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2014 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2015 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2015 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2015 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2015 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2016 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2016 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2016 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2016 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2017 Q1,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2017 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2017 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2017 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0511 Abduction and kidnapping,2018 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2011 Q3,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2011 Q4,4
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2012 Q1,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2012 Q2,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2012 Q3,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2012 Q4,5
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2013 Q1,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2013 Q2,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2013 Q3,5
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2013 Q4,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2014 Q1,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2014 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2014 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2014 Q4,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2015 Q1,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2015 Q2,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2015 Q3,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2015 Q4,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2016 Q1,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2016 Q2,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2016 Q3,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2016 Q4,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2017 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2017 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2017 Q3,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2017 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0521 Deprivation of liberty/false imprisonment,2018 Q1,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2011 Q3,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2011 Q4,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2012 Q1,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2012 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2012 Q3,3
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2012 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2013 Q1,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2013 Q2,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2013 Q3,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2013 Q4,0
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2014 Q1,4
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2014 Q2,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2014 Q3,1
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2014 Q4,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2015 Q1,2
Alice Springs Crime Statistics,"05 Abduction, harassment and other offences", 0531 Harassment and private nuisance,2015 Q2,2
